STK,SWR,TST,SWA,IMP,INF,OPS
STK021,SWR037,,SWA027,IMP028,,
STK022,SWR038,,,,,
STK023,,,,,,
STK024,,,,,,
STK025,SWR039,,,,,
STK026,SWR040,,,,,
STK027,SWR041,,SWA028,,,
STK027,SWR042,,SWA028,,,
STK028,SWR007,,SWA010,,,
STK028,SWR007,,SWA029,,,
STK028,SWR043,,SWA029,,,
STK028,SWR045,,,,,
STK028,SWR051,,,,,
STK029,SWR007,,SWA010,,,
STK029,SWR007,,SWA029,,,
STK029,SWR043,,SWA029,,,
STK030,,,,,,
STK031,SWR043,,SWA029,,,
STK031,SWR044,,,,,
STK031,SWR052,,,,,
STK032,SWR043,,SWA029,,,
STK032,SWR045,,,,,
STK033,SWR061,,,,,
STK034,,,,,,
STK035,,,,,INF011,
STK036,,,,,INF012,
STK037,SWR046,,,,,
STK038,SWR047,,,,,
STK038,SWR048,,,,,
STK038,SWR089,,SWA037,,,
STK038,,,,,INF015,
STK038,,,,,INF016,
STK039,SWR049,,,,,
STK040,SWR050,,,,,
STK041,SWR051,,,,,
STK042,SWR052,,,,,
STK043,SWR054,,,,,
STK044,SWR055,,,,,
STK045,SWR057,,SWA032,,,
STK045,SWR058,,,,,
STK045,SWR064,,,,,
STK045,,,,,INF014,
STK046,SWR059,,,,,
STK046,SWR060,,,,,
STK047,SWR061,,,,,
STK047,SWR062,,,,,
STK047,SWR063,,,,,
STK048,SWR065,,SWA033,,,
STK048,SWR066,,SWA033,,,
STK048,SWR067,,SWA033,,,
STK048,SWR068,,SWA033,,,
STK049,SWR069,,,,,
STK049,SWR070,,,,,
STK049,SWR071,,,,,
STK050,SWR072,,SWA034,,,
STK050,SWR073,,SWA034,,,
STK050,SWR074,,SWA034,,,
STK050,SWR075,,SWA034,,,
STK051,SWR076,,,,,
STK051,SWR077,,,,,
STK052,SWR078,,SWA035,,,
STK052,SWR079,,SWA035,,,
STK052,SWR080,,SWA035,,,
STK052,SWR081,,SWA035,,,
STK052,SWR082,,SWA035,,,
STK052,SWR083,,SWA035,,,
STK053,SWR084,,,,,
STK053,SWR085,,,,,
STK053,SWR086,,,,,
STK054,SWR087,,SWA036,,,
STK054,SWR088,,SWA036,,,
STK055,SWR091,,,,,
STK056,SWR092,,,,,
STK057,SWR093,,,,,
STK058,SWR094,,,,,
STK059,SWR095,,,,,
